Date,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2020-01-03 08:00:00,6244.33,6607.39,6244.33,6581.57,2.541087,16670.12619614,74,1.26971300,8355.36962710
2020-01-03 12:00:00,6552.79,6581.57,6494.83,6505.82,0.202788,1323.44333801,17,0.08147500,530.76692799
2020-01-03 16:00:00,6608.59,6608.59,6542.05,6550.23,0.30663,2012.00561838,15,0.25996500,1705.54681898
2020-01-03 20:00:00,6567.81,6568.73,6516.32,6568.73,0.508475,3329.90744696,18,0.21038800,1377.84651950
2020-01-04 00:00:00,6558.96,6559.15,6533.6,6533.6,0.084964,556.00430380,10,0.01469900,96.30254388
2020-01-04 04:00:00,6573.79,6573.79,6573.79,6573.79,0.040977,269.37419283,5,0.03408300,224.05448457
2020-01-04 08:00:00,6573.79,6586.27,6539.78,6539.78,0.016993,111.66081075,5,0.01335300,87.80023515
2020-01-04 12:00:00,6570.63,6600.05,6520.12,6530.84,1.352658,8907.16037548,25,1.34121300,8832.43098142
2020-01-04 16:00:00,6530.84,6690.0,6528.53,6535.77,0.217361,1422.80762041,20,0.02569800,169.69573721
2020-01-04 20:00:00,6561.66,6583.02,6550.0,6568.18,0.116692,766.90434724,10,0.06995700,460.50458614
2020-01-05 00:00:00,6590.9,6699.28,6568.18,6678.02,0.055749,369.73882664,31,0.03065300,203.13752184
2020-01-05 04:00:00,6669.65,6689.99,6658.6,6689.99,0.332334,2217.04735711,43,0.04406400,294.50781904
2020-01-05 08:00:00,6671.27,6671.27,6623.0,6655.44,0.845933,5614.07120759,37,0.64437200,4271.92960698
2020-01-05 12:00:00,6659.09,6684.04,6651.46,6684.04,0.092454,616.54697958,14,0.05077300,339.17994694
2020-01-05 16:00:00,6684.04,6692.0,6600.0,6692.0,1.526849,10194.09469709,38,1.01249700,6755.21241921
2020-01-05 20:00:00,6642.33,6669.52,6583.4,6589.0,0.512026,3386.31542016,32,0.37177700,2457.21601674
2020-01-06 00:00:00,6568.18,6750.1,6515.58,6723.63,3.649739,24246.99062615,76,2.49459600,16671.72764926
2020-01-06 04:00:00,6745.22,6748.7,6704.54,6721.24,0.420521,2835.04256823,21,0.39485900,2662.58601135
2020-01-06 08:00:00,6729.42,6780.0,6729.42,6750.0,0.431182,2911.79331312,22,0.31033100,2093.74665312
2020-01-06 12:00:00,6750.0,6750.0,6636.36,6659.09,0.518588,3490.84513408,40,0.46625900,3140.20266136
2020-01-06 16:00:00,6659.09,6714.34,6500.0,6598.69,0.368517,2443.78997760,73,0.21683500,1435.94684196
2020-01-06 20:00:00,6613.63,6950.0,6520.0,6914.15,4.861636,32654.73070943,347,2.66429100,17815.64057256
2020-01-07 00:00:00,6942.65,7135.43,6942.65,7071.92,2.286535,16093.68471138,53,1.83377700,12915.77728657
2020-01-07 04:00:00,7020.5,7045.9,7020.5,7032.73,0.260191,1830.00891665,49,0.01950600,137.29373920
2020-01-07 08:00:00,7032.73,7108.6,6969.68,7079.89,2.686769,18885.73704480,59,1.27223600,8985.59995402
2020-01-07 12:00:00,7070.42,7092.7,6900.0,6965.2,1.416491,9960.82985412,60,0.67380500,4750.30189270
2020-01-07 16:00:00,6998.41,7281.0,6998.41,7216.17,21.126997,150321.16575429,282,20.51582300,145936.78720424
2020-01-07 20:00:00,7214.15,7352.71,7128.31,7315.6,1.740418,12678.64963039,95,1.15685900,8436.30201139
2020-01-08 00:00:00,7353.14,7552.26,7353.14,7447.2,0.850521,6342.90317616,72,0.68455000,5109.26377598
2020-01-08 04:00:00,7446.97,7490.97,7434.62,7434.62,0.205923,1539.81572547,18,0.18118300,1355.21691059
2020-01-08 08:00:00,7415.32,7517.6,7412.81,7433.17,2.336736,17446.95044728,56,1.77230200,13237.36648766
2020-01-08 12:00:00,7465.81,7552.26,7372.96,7466.94,4.245976,31708.90191941,224,0.34746900,2590.05780038
2020-01-08 16:00:00,7452.83,7460.0,7154.85,7160.0,7.65816,55728.82912870,152,2.30677800,16717.62005598
2020-01-08 20:00:00,7171.43,7282.2,7079.19,7239.17,6.892842,49149.20068612,102,0.26302000,1887.36183572
2020-01-09 00:00:00,7209.85,7209.85,7168.9,7168.9,0.117761,846.40167336,21,0.03237300,232.32900636
2020-01-09 04:00:00,7160.0,7160.0,7109.33,7158.37,0.211827,1513.13349558,14,0.18229400,1303.02119429
2020-01-09 08:00:00,7135.48,7153.31,7075.01,7075.01,1.686563,12032.08203965,42,1.60508100,11454.26203418
2020-01-09 12:00:00,7105.28,7154.66,7069.49,7109.37,0.96607,6883.18130767,38,0.84932800,6055.92043092
2020-01-09 16:00:00,7084.49,7153.65,6983.08,7153.65,15.088843,106315.40804178,159,8.99139700,63414.78446928
2020-01-09 20:00:00,7153.65,7181.62,6984.91,7030.39,3.825876,27087.02545215,66,0.16570400,1170.49827146
2020-01-10 00:00:00,7059.9,7059.9,7001.23,7024.11,0.033333,234.87231383,6,0.02661600,187.82362506
2020-01-10 04:00:00,7018.33,7018.33,6946.12,6955.0,0.113314,790.93173389,20,0.03607200,251.45066048
2020-01-10 08:00:00,6938.0,7046.08,6924.0,7040.0,1.415523,9819.49772389,32,1.37257100,9521.73399291
2020-01-10 12:00:00,7102.9,7253.75,7088.89,7253.75,1.070967,7649.20314065,47,0.67107500,4799.25210785
2020-01-10 16:00:00,7238.75,7296.0,7166.46,7237.0,1.153842,8363.24709100,44,0.36842200,2668.60977610
2020-01-10 20:00:00,7267.6,7350.0,7229.18,7350.0,0.147973,1074.17830116,13,0.13797300,1001.09290116
2020-01-11 00:00:00,7350.0,7398.82,7340.35,7355.49,0.087872,646.90571892,11,0.08461100,622.91946603
2020-01-11 04:00:00,7279.88,7286.48,7239.72,7286.48,1.273776,9242.64870623,16,0.00471000,34.31932080
2020-01-11 08:00:00,7260.65,7314.38,7168.68,7221.08,3.047393,22018.50144412,75,0.90339800,6552.26784969
2020-01-11 12:00:00,7228.26,7284.29,7225.28,7245.59,0.096986,704.16419140,13,0.06242700,453.69306388
2020-01-11 16:00:00,7284.29,7397.29,7284.29,7338.22,0.391759,2874.66365038,49,0.20388600,1495.97214959
